# Hint: check out the `eval` command in python.
{'Commute': 6.0877, 'Student-Teacher Ratio': 17.9, 'Poverty Rate': 16.2, 'TractID': 95326.0}
{'Student-Teacher Ratio': 19.7, 'TractID': 46074.0, 'Poverty Rate': 6.86, 'Commute': 7.8148}
{'TractID': 89871.0, 'Commute': 7.8278, 'Poverty Rate': 6.07, 'Student-Teacher Ratio': 14.8}
{'Student-Teacher Ratio': 16.6, 'Poverty Rate': 12.4, 'TractID': 45605.0, 'Commute': 6.3361}
{'TractID': 91339.0, 'Student-Teacher Ratio': 20.2, 'Poverty Rate': 30.12, 'Commute': 1.61}
{'Student-Teacher Ratio': 20.2, 'TractID': 45756.0, 'Commute': 2.9634, 'Poverty Rate': 13.22}
{'Commute': 1.4, 'Student-Teacher Ratio': 20.2, 'TractID': 74168.0, 'Poverty Rate': 19.11}
{'Commute': 1.8125, 'TractID': 60052.0, 'Poverty Rate': 15.39, 'Student-Teacher Ratio': 21.2}
{'Poverty Rate': 11.69, 'Student-Teacher Ratio': 21.0, 'TractID': 64930.0, 'Commute': 3.7965}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.9047, 'Poverty Rate': 5.29, 'TractID': 93228.0}
{'Commute': 5.118, 'Student-Teacher Ratio': 14.7, 'TractID': 58925.0, 'Poverty Rate': 2.88}
{'TractID': 94625.0, 'Poverty Rate': 5.52, 'Commute': 5.2873, 'Student-Teacher Ratio': 19.2}
{'TractID': 93377.0, 'Student-Teacher Ratio': 19.7, 'Poverty Rate': 5.89, 'Commute': 8.7921}
{'Student-Teacher Ratio': 17.8, 'Poverty Rate': 8.2, 'TractID': 80167.0, 'Commute': 3.0921}
{'Student-Teacher Ratio': 17.9, 'Poverty Rate': 9.55, 'Commute': 5.7209, 'TractID': 50149.0}
{'TractID': 45399.0, 'Commute': 7.2255, 'Student-Teacher Ratio': 19.7, 'Poverty Rate': 6.73}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.5539, 'TractID': 78783.0, 'Poverty Rate': 34.37}
{'Student-Teacher Ratio': 16.0, 'TractID': 45734.0, 'Poverty Rate': 8.58, 'Commute': 5.5027}
{'Poverty Rate': 13.15, 'TractID': 49979.0, 'Commute': 3.2797, 'Student-Teacher Ratio': 17.8}
{'Student-Teacher Ratio': 20.2, 'Poverty Rate': 18.03, 'Commute': 2.1705, 'TractID': 94311.0}
{'Commute': 3.3633, 'TractID': 82273.0, 'Student-Teacher Ratio': 16.4, 'Poverty Rate': 10.5}
{'Poverty Rate': 13.28, 'Commute': 1.5916, 'TractID': 60424.0, 'Student-Teacher Ratio': 14.7}
{'Commute': 2.8339999999999996, 'TractID': 56684.0, 'Student-Teacher Ratio': 18.4, 'Poverty Rate': 11.72}
{'Student-Teacher Ratio': 20.2, 'Commute': 2.3682, 'TractID': 53040.0, 'Poverty Rate': 17.27}
{'TractID': 47915.0, 'Poverty Rate': 7.79, 'Student-Teacher Ratio': 18.3, 'Commute': 10.7103}
{'TractID': 88786.0, 'Student-Teacher Ratio': 20.2, 'Commute': 1.5894, 'Poverty Rate': 20.08}
{'Commute': 3.3175, 'Student-Teacher Ratio': 18.4, 'Poverty Rate': 4.54, 'TractID': 52045.0}
{'Student-Teacher Ratio': 20.2, 'TractID': 63142.0, 'Poverty Rate': 9.53, 'Commute': 1.1691}
{'TractID': 45405.0, 'Student-Teacher Ratio': 17.8, 'Poverty Rate': 8.81, 'Commute': 3.0923}
{'Student-Teacher Ratio': 15.2, 'Poverty Rate': 2.87, 'TractID': 45507.0, 'Commute': 6.4798}
{'Poverty Rate': 17.36, 'Student-Teacher Ratio': 20.2, 'TractID': 67115.0, 'Commute': 2.73}
{'Commute': 2.7778, 'Poverty Rate': 13.0, 'Student-Teacher Ratio': 20.9, 'TractID': 74298.0}
{'Poverty Rate': 6.21, 'Commute': 3.6659, 'TractID': 46597.0, 'Student-Teacher Ratio': 18.2}
{'Commute': 7.3172, 'Poverty Rate': 9.51, 'TractID': 71369.0, 'Student-Teacher Ratio': 16.6}
{'TractID': 85444.0, 'Student-Teacher Ratio': 20.2, 'Commute': 2.2222, 'Poverty Rate': 15.17}
{'Commute': 1.7821, 'TractID': 95263.0, 'Poverty Rate': 16.35, 'Student-Teacher Ratio': 20.2}
{'Student-Teacher Ratio': 19.7, 'Poverty Rate': 9.22, 'TractID': 85837.0, 'Commute': 6.932}
{'Poverty Rate': 6.92, 'Commute': 2.9153, 'Student-Teacher Ratio': 16.6, 'TractID': 60853.0}
{'Student-Teacher Ratio': 20.2, 'Commute': 1.413, 'TractID': 45784.0, 'Poverty Rate': 10.11}
